key,itemLabel,itemLabelheb,uri
Q1260222,Sardar,Q1260222,http://www.wikidata.org/entity/Q1260222
Q1261521,switchboard operator,Q1261521,http://www.wikidata.org/entity/Q1261521
Q1268911,spelman,Q1268911,http://www.wikidata.org/entity/Q1268911
Q1270844,Papal gentleman,Q1270844,http://www.wikidata.org/entity/Q1270844
Q1274333,valletta,Q1274333,http://www.wikidata.org/entity/Q1274333
Q1281618,sculptor,פסל,http://www.wikidata.org/entity/Q1281618
Q1284709,master craftsman,Q1284709,http://www.wikidata.org/entity/Q1284709
Q1285463,prefect,פריפקט,http://www.wikidata.org/entity/Q1285463
Q1287848,Mãe-de-santo,Q1287848,http://www.wikidata.org/entity/Q1287848
Q1294133,Kirchenmusikdirektor,מנצח מקהלת כנסייה,http://www.wikidata.org/entity/Q1294133
Q1294626,music artist,אמן מוזיקה,http://www.wikidata.org/entity/Q1294626
Q1297719,French moralist,Q1297719,http://www.wikidata.org/entity/Q1297719
Q1302255,card player,Q1302255,http://www.wikidata.org/entity/Q1302255
Q1304271,one-man band,Q1304271,http://www.wikidata.org/entity/Q1304271
Q1318187,scrivener,כותב בקשות,http://www.wikidata.org/entity/Q1318187
Q1323006,railfan,Q1323006,http://www.wikidata.org/entity/Q1323006
Q1323191,costume designer,מעצב תלבושות,http://www.wikidata.org/entity/Q1323191
Q1326179,Electus,Q1326179,http://www.wikidata.org/entity/Q1326179
Q1327329,multi-instrumentalist,רב־נגן,http://www.wikidata.org/entity/Q1327329
Q1334674,tamada,Q1334674,http://www.wikidata.org/entity/Q1334674
Q1344452,discoverer,מגלה,http://www.wikidata.org/entity/Q1344452
Q1344569,prankster,תעלולן,http://www.wikidata.org/entity/Q1344569
Q1349880,thaumaturge,בעל נס,http://www.wikidata.org/entity/Q1349880
Q1361693,bellows pumper,Q1361693,http://www.wikidata.org/entity/Q1361693
Q1364673,informant,מודיע,http://www.wikidata.org/entity/Q1364673
Q1368409,breeder,מרביע בעלי חיים,http://www.wikidata.org/entity/Q1368409
Q1369991,toasting,Q1369991,http://www.wikidata.org/entity/Q1369991
Q1371796,gunsmith,Q1371796,http://www.wikidata.org/entity/Q1371796
Q1385518,extreme sports athlete,Q1385518,http://www.wikidata.org/entity/Q1385518
Q1391360,waste collector,Q1391360,http://www.wikidata.org/entity/Q1391360
Q1397808,resistance fighter,לוחם מחתרת,http://www.wikidata.org/entity/Q1397808
