Label,itemLabelheb,uri,count,equals
barber,ספר,http://www.wikidata.org/entity/Q107198,158,Q107198
barrister,פרקליט,http://www.wikidata.org/entity/Q808967,6231,Q808967
bass guitarist,בסיסט,http://www.wikidata.org/entity/Q12360214,518,Q12360214
bassoonist,נגן בסון,http://www.wikidata.org/entity/Q12310971,316,Q12310971
beach handball player,Q57749966,http://www.wikidata.org/entity/Q57749966,195,Q57749966
beach volleyball player,שחקן כדורעף חופים,http://www.wikidata.org/entity/Q17361156,1635,Q17361156
beauty pageant contestant,מתחרה בתחרות יופי,http://www.wikidata.org/entity/Q18581305,4362,Q18581305
bell-ringer,פעמונר,http://www.wikidata.org/entity/Q587524,92,Q587524
benefactor,Q4887411,http://www.wikidata.org/entity/Q4887411,177,Q4887411
Bible translator,"מתרגם תנ""ך",http://www.wikidata.org/entity/Q24262584,669,Q24262584
bibliophile,ביבליופיל,http://www.wikidata.org/entity/Q18120029,513,Q18120029
biographer,ביוגרף,http://www.wikidata.org/entity/Q864380,4672,Q864380
blacksmith,נפח,http://www.wikidata.org/entity/Q1639825,702,Q1639825
bladesmith,Q885444,http://www.wikidata.org/entity/Q885444,219,Q885444
book collector,אספן ספרים,http://www.wikidata.org/entity/Q28776412,135,Q28776412
book historian,Q37311684,http://www.wikidata.org/entity/Q37311684,129,Q37311684
bookseller,מוכר ספרים,http://www.wikidata.org/entity/Q998550,6609,Q998550
botanical collector,Q2083925,http://www.wikidata.org/entity/Q2083925,2675,Q2083925
breeder,מרביע בעלי חיים,http://www.wikidata.org/entity/Q1368409,170,Q1368409
brigand,Q20650523,http://www.wikidata.org/entity/Q20650523,121,Q20650523
broadcast writer,Q11499012,http://www.wikidata.org/entity/Q11499012,417,Q11499012
broadcasting executive,Q28050438,http://www.wikidata.org/entity/Q28050438,72,Q28050438
business executive,מנהל עסקים,http://www.wikidata.org/entity/Q2961975,8317,Q2961975
business magnate,טייקון,http://www.wikidata.org/entity/Q911554,208,Q911554
businessperson,איש עסקים,http://www.wikidata.org/entity/Q43845,74739,Q43845
cabinetmaker,בונה ארונות,http://www.wikidata.org/entity/Q559597,498,Q559597
campaign manager,Q5027838,http://www.wikidata.org/entity/Q5027838,75,Q5027838
cancionista,Q24961653,http://www.wikidata.org/entity/Q24961653,201,Q24961653
canon law jurist,קאנוניסט,http://www.wikidata.org/entity/Q12027957,634,Q12027957
"cantaor, cantaora",Q51374880,http://www.wikidata.org/entity/Q51374880,82,Q51374880
carcinologist,קרצינולוג,http://www.wikidata.org/entity/Q16868721,1579,Q16868721
carom billiards player,Q26876987,http://www.wikidata.org/entity/Q26876987,185,Q26876987
cartographer,קרטוגרף,http://www.wikidata.org/entity/Q1734662,3206,Q1734662
cartoonist,צייר קומיקס,http://www.wikidata.org/entity/Q1114448,4168,Q1114448
Catholic seminarian,Q1155081,http://www.wikidata.org/entity/Q1155081,53,Q1155081
celebrity,ידוען,http://www.wikidata.org/entity/Q211236,165,Q211236
chairperson,יושב ראש,http://www.wikidata.org/entity/Q140686,901,Q140686
charity worker,Q66660783,http://www.wikidata.org/entity/Q66660783,75,Q66660783
chess composer,פרובלמאי,http://www.wikidata.org/entity/Q2627699,752,Q2627699
chief executive officer,מנהל כללי,http://www.wikidata.org/entity/Q484876,3045,Q484876
chief of police,Q2855502,http://www.wikidata.org/entity/Q2855502,113,Q2855502
chinovnik,פקיד ציבורי,http://www.wikidata.org/entity/Q382887,165,Q382887
church writer,Q51174991,http://www.wikidata.org/entity/Q51174991,88,Q51174991
cinematographer,צלם קולנוע,http://www.wikidata.org/entity/Q222344,15371,Q222344
city head,Q4145633,http://www.wikidata.org/entity/Q4145633,61,Q4145633
civil rights advocate,עורך דין לזכויות אדם,http://www.wikidata.org/entity/Q1021386,324,Q1021386
clandestine agent,Q25893271,http://www.wikidata.org/entity/Q25893271,74,Q25893271
clarinetist,קלרניתן,http://www.wikidata.org/entity/Q118865,1466,Q118865
classical composer,מלחין קלאסי,http://www.wikidata.org/entity/Q21680663,432,Q21680663
clerk,פקיד,http://www.wikidata.org/entity/Q738142,845,Q738142
climate activist,פעיל אקלים,http://www.wikidata.org/entity/Q61048378,298,Q61048378
clockmaker,שען,http://www.wikidata.org/entity/Q2700922,293,Q2700922
cnidariologist,סנידריולוג,http://www.wikidata.org/entity/Q5137366,113,Q5137366
co-founder,Q45916492,http://www.wikidata.org/entity/Q45916492,55,Q45916492
co-producer,Q11999333,http://www.wikidata.org/entity/Q11999333,139,Q11999333
cobbler,סנדלר,http://www.wikidata.org/entity/Q152355,520,Q152355
coleopterist,Q11741162,http://www.wikidata.org/entity/Q11741162,135,Q11741162
collector,אספן,http://www.wikidata.org/entity/Q3243461,2054,Q3243461
collector of fairy tales,אספן אגדות,http://www.wikidata.org/entity/Q64733534,183,Q64733534
combatant,לוחם,http://www.wikidata.org/entity/Q1414937,59,Q1414937
combined track and field event athlete,Q14605941,http://www.wikidata.org/entity/Q14605941,64,Q14605941
comedian,קומיקאי,http://www.wikidata.org/entity/Q245068,8116,Q245068
communicator,Q5780518,http://www.wikidata.org/entity/Q5780518,151,Q5780518
community leader,מנהיג קהילה,http://www.wikidata.org/entity/Q1500610,457,Q1500610
community organizer,"פעיל חברתי, עסקן ציבורי",http://www.wikidata.org/entity/Q28532974,161,Q28532974
composer,מלחין,http://www.wikidata.org/entity/Q36834,96375,Q36834
computer engineer,Q56285767,http://www.wikidata.org/entity/Q56285767,240,Q56285767
con artist,נוכל,http://www.wikidata.org/entity/Q14948222,235,Q14948222
concentration camp guard,מנהל מחנה ריכוז,http://www.wikidata.org/entity/Q28789517,342,Q28789517
concert singer,Q1783698,http://www.wikidata.org/entity/Q1783698,133,Q1783698
conchologist,Q43095928,http://www.wikidata.org/entity/Q43095928,88,Q43095928
conquistador,קונקיסטאדור,http://www.wikidata.org/entity/Q126236,164,Q126236
consort,מלכה רעיה,http://www.wikidata.org/entity/Q5784340,336,Q5784340
construction contractor,Q73174840,http://www.wikidata.org/entity/Q73174840,118,Q73174840
construction foreman,Q691522,http://www.wikidata.org/entity/Q691522,215,Q691522
construction officer,Q811111,http://www.wikidata.org/entity/Q811111,51,Q811111
cookbook author,סופר בישול,http://www.wikidata.org/entity/Q27431213,284,Q27431213
coppersmith,Q1551626,http://www.wikidata.org/entity/Q1551626,100,Q1551626
correspondence chess player,שחמטאי בהתכתבות,http://www.wikidata.org/entity/Q30176225,2456,Q30176225
cosplayer,קוספלייר,http://www.wikidata.org/entity/Q18810049,127,Q18810049
costume designer,מעצב תלבושות,http://www.wikidata.org/entity/Q1323191,4729,Q1323191
council member,חבר מועצה,http://www.wikidata.org/entity/Q708492,3114,Q708492
country singer,זמר קאנטרי,http://www.wikidata.org/entity/Q66763708,67,Q66763708
courier,שליח,http://www.wikidata.org/entity/Q848466,82,Q848466
court clerk,Q641208,http://www.wikidata.org/entity/Q641208,88,Q641208
court official,Q61905636,http://www.wikidata.org/entity/Q61905636,264,Q61905636
courtesan,קורטיזנה,http://www.wikidata.org/entity/Q376924,63,Q376924
courtier,חצרן,http://www.wikidata.org/entity/Q1511216,289,Q1511216
coxswain,Q1690874,http://www.wikidata.org/entity/Q1690874,489,Q1690874
creator,יוצר,http://www.wikidata.org/entity/Q2500638,2808,Q2500638
crime boss,ראש ארגון פשע,http://www.wikidata.org/entity/Q4947495,151,Q4947495
crime writer,מחבר ספרות פשע,http://www.wikidata.org/entity/Q10297252,847,Q10297252
criminal,פושע,http://www.wikidata.org/entity/Q2159907,1418,Q2159907
cultural activist,פעיל תרבותי,http://www.wikidata.org/entity/Q21993562,444,Q21993562
cultural historian,היסטוריון תרבותי,http://www.wikidata.org/entity/Q15462162,746,Q15462162
curator,אוצר,http://www.wikidata.org/entity/Q674426,6281,Q674426
cyclist,Q2125610,http://www.wikidata.org/entity/Q2125610,169,Q2125610
cynologist,Q18511915,http://www.wikidata.org/entity/Q18511915,108,Q18511915
dairy farmer,רפתן,http://www.wikidata.org/entity/Q23666894,89,Q23666894
dancer,רקדן,http://www.wikidata.org/entity/Q5716684,13227,Q5716684
daoshi,Q1165430,http://www.wikidata.org/entity/Q1165430,85,Q1165430
debater,Q12307965,http://www.wikidata.org/entity/Q12307965,82,Q12307965
decathlete,Q21141381,http://www.wikidata.org/entity/Q21141381,163,Q21141381
decorative artist,Q62521253,http://www.wikidata.org/entity/Q62521253,79,Q62521253
dentist,רופא שיניים,http://www.wikidata.org/entity/Q27349,3037,Q27349
dialect writer,Q61043360,http://www.wikidata.org/entity/Q61043360,689,Q61043360
diarist,כותב יומן,http://www.wikidata.org/entity/Q18939491,1026,Q18939491
digital artist,אמן מחשב,http://www.wikidata.org/entity/Q22812879,178,Q22812879
dipterologist,Q63146541,http://www.wikidata.org/entity/Q63146541,76,Q63146541
director,דירקטור,http://www.wikidata.org/entity/Q1162163,2484,Q1162163
disability rights activist,פעיל זכויות אנשים עם מוגבלויות,http://www.wikidata.org/entity/Q61857538,90,Q61857538
disc jockey,די ג'יי,http://www.wikidata.org/entity/Q130857,5721,Q130857
dissident,דיסידנט,http://www.wikidata.org/entity/Q181043,144,Q181043
